Country Name,Country Code,Region,%Essential Workers,%Indoor Essential Workers,%Vital Workers,%Indoor Vital Workers,"GDP per capita, PPP (current international $)",GDP Year (PPP),GDP Year (USD),GDP per capita (current US$),Food % of Essential Workers,Food % of Indoor Essential Workers,Food % of Vital Workers,Food % of Indoor Vital Workers
Czechia,CZE,Eastern Europe,0.3253260195708655,0.2767910079872875,0.1759851469740306,0.1477890269821246,57625.0961715706,2024.0,2024.0,31827.7552539413,0.047844723363188964,0.006911522276337743,0.07911697819525054,0.0018359065605312096
Germany,DEU,Western Europe,0.3042018957894866,0.2581274223443727,0.1506289781940945,0.1257683982485375,73957.0012170966,2024.0,2024.0,56103.7323182554,0.07295200957680055,0.03117502657080884,0.09712474991679543,0.0038546366130111096
Djibouti,DJI,Eastern Africa,0.4298711181723832,0.2545490235747468,0.2181975053914377,0.102154950993575,7821.62138070711,2024.0,2024.0,3552.72335079222,,,,
Dominica,DMA,Caribbean,0.8699712549514417,0.2033311780756395,0.7402612516759507,0.0981482873673887,21331.6193698018,2024.0,2024.0,10405.2787777582,,,,
Denmark,DNK,Northern Europe,0.3318629338207602,0.2816129440348115,0.1420015570312191,0.1143417240168674,80937.8001363997,2024.0,2024.0,71026.4832271897,0.11247417305978956,0.06909337637334635,0.13196357073407397,0.007614128667739531
Dominican Republic,DOM,Caribbean,0.4006999999999999,0.2999671364566612,0.1717440854523941,0.1097644546964981,27581.6606581871,2024.0,2024.0,10875.6618443092,0.17246646559957476,0.07174925642018162,0.2950918452914502,0.028200252332190066
Algeria,DZA,Northern Africa,0.4838999999999999,0.3148837548489769,0.2724293610947406,0.1459276048077068,17646.332598878,2024.0,2024.0,5752.99076651465,,,,
Ecuador,ECU,South America,0.588162900915861,0.2640082287607227,0.3775979320667689,0.1007194039889232,15848.3400023446,2024.0,2024.0,6826.5294137822,0.5045082559800824,0.1299700440733379,0.7366140460767375,0.1561175072694927
Egypt,EGY,Northern Africa,0.4849495038886,0.2756252636443685,0.2780822848001664,0.1143715989597189,19121.874936645,2024.0,2024.0,3338.47371043679,0.30995576823879917,0.01141594994193527,0.5307073083088942,0.0036191592679465008
Eritrea,ERI,Eastern Africa,0.5155870229693367,0.2522969946873517,0.2919365001270361,0.0935635298194799,,,,,,,,
Spain,ESP,Southern Europe,0.3763865880092133,0.3028479346995866,0.1643165199636007,0.1222326955433801,58063.7350840487,2024.0,2024.0,35326.7683069278,0.10994346813352747,0.039770853976546956,0.19251056912100778,0.0187833615820031
Estonia,EST,Northern Europe,0.2988989777365767,0.2486547539320991,0.1459511462412164,0.1178351726640639,50395.7686402966,2024.0,2024.0,31428.3547816104,0.08161303104098774,0.03711973420831681,0.10832113326543122,0.0054783336341926074
Ethiopia,ETH,Eastern Africa,0.8262729841143055,0.1878351974703857,0.6372802072924436,0.0572388581363986,3292.3093336937,2024.0,2024.0,1133.88279681256,0.727399489509931,0.16894856271368747,0.9225295539654168,0.3251945582003133
Finland,FIN,Northern Europe,0.3480010406799274,0.2894408718508745,0.1668378887562004,0.1309255150301028,65137.1816928289,2024.0,2024.0,53155.5451165897,0.09984452885741249,0.035311292602464205,0.14886438584951053,0.0023734962166180613
Fiji,FJI,Melanesia,0.5566999999999999,0.2739948725443717,0.3723946107772855,0.1165049115476029,15472.737444718,2024.0,2024.0,6425.74151715712,0.44244518508876646,0.015474536735941869,0.6614199760431659,0.03639283240788682
France,FRA,Western Europe,0.3701467074118042,0.3064033153432201,0.1796143242511039,0.1403761810297295,62524.5434134804,2024.0,2024.0,46103.0840855884,0.09585187090073527,0.02799675287997023,0.15410942282318113,0.0055515353352397654
Faroe Islands,FRO,Northern Europe,0.3222849967757124,0.2617676036950138,0.1520486595238551,0.1128499851664847,82089.2832575392,2024.0,2024.0,74175.2776311377,,,,
"Micronesia, Fed. Sts.",FSM,Micronesia,0.4336561828399343,0.2804211220242241,0.2410201021046369,0.116416221462222,4452.31995062055,2024.0,2024.0,4251.69052668788,,,,
Gabon,GAB,Middle Africa,0.5964652484910125,0.3806964719139781,0.2566161187822577,0.1129100004005161,21541.4112646776,2024.0,2024.0,8230.04311451151,0.22741053082013019,0.020453447358350745,0.5050725201305915,0.015532957983928166
United Kingdom,GBR,Northern Europe,0.2994040116934567,0.2518760477502855,0.132920873103946,0.1069607915053323,62839.4679324927,2024.0,2024.0,53341.3131094262,0.13704646646436316,0.0947395432599857,0.14101515427287295,0.014717704299231246
Georgia,GEO,Western Asia,0.5597999999999999,0.2127688293010724,0.4162491378224959,0.0951946791058932,27486.8762116648,2024.0,2024.0,8967.67525638987,0.5631302860834614,0.027384140802975285,0.7484779635140335,0.022474621927316335
Ghana,GHA,Western Africa,0.6838729878040671,0.248333126322839,0.4625833182280998,0.0750291796143781,8051.19381149848,2024.0,2024.0,2419.2518672482,0.5566086854720532,0.014744160838086993,0.8185127138667706,0.021886764393259386
Gibraltar,GIB,Southern Europe,0.2871999999999999,0.234931807664474,0.1126129820091185,0.0850725965592388,,,,,,,,
Guinea,GIN,Western Africa,0.7077707794758886,0.2767005678424011,0.4227975335625138,0.0589349254196437,4571.93087130821,2024.0,2024.0,1694.95375862185,0.5030585424174777,0.007722033555388381,0.838017407193351,0.00675740610202429
Gambia,GMB,Western Africa,0.7033000000000001,0.3748070697974995,0.347969775033746,0.1055198087231188,3480.66001035486,2024.0,2024.0,871.340287547821,0.3243441638289303,0.009130713594044855,0.6522125330019904,0.021429663270932896
Guinea-Bissau,GNB,Western Africa,0.7702773703130424,0.1987525899341601,0.6111017221753925,0.0778849594169068,3093.46533465682,2024.0,2024.0,998.376093392688,0.7301620992386738,0.18316306266134486,0.9169710109050737,0.4408984171845833
Equatorial Guinea,GNQ,Middle Africa,0.6096891627542552,0.3429452501628764,0.3078650782990148,0.1075519065782172,17072.4273818835,2024.0,2024.0,7003.58055684906,,,,
Greece,GRC,Southern Europe,0.439548046059345,0.3076859652524102,0.2104746111605045,0.1155762417631491,44170.9556658376,2024.0,2024.0,24626.1481858973,0.2106549909828911,0.03483410408255042,0.394983188648289,0.010892448877412553
Grenada,GRD,Caribbean,0.4595966627272687,0.2912025800905167,0.2457347493267185,0.1194350753002189,19903.184889337,2024.0,2024.0,11528.9220811928,0.25623919964264674,0.017031726461759877,0.4792430917415314,0.04152618212525471
Greenland,GRL,Northern America,0.3222849967757124,0.2617676036950138,0.1520486595238551,0.1128499851664847,78905.5801137274,2023.0,2023.0,58498.9707973609,,,,
