Country Name,Country Code,Region,occupational_group,Essential Workers,Vital Workers,Indoor Essential Workers,Indoor Vital Workers,% of Essential Workers,% of Vital Workers,% of Indoor Essential Workers,% of Indoor Vital Workers
Argentina,ARG,South America,Security,504653.12252279604,403722.4980182369,412133.3833936167,329706.7067148934,0.05736574006932803,0.13807763090881756,0.0655851201444223,0.18808722990385995
Argentina,ARG,South America,Transport,1195278.4436123227,977955.090228264,247507.1524651779,202505.85201696376,0.13587161051131338,0.3344716300349402,0.03938721536549024,0.11552317247258219
Argentina,ARG,South America,Manual,1304227.7678665728,519543.2942507477,735011.7656677249,326880.98096218205,0.14825627303882194,0.17768964468625037,0.11696658630742782,0.18647524289094466
Argentina,ARG,South America,Cleaning,968485.2383119831,6833.912751446803,745103.5673450922,3274.5831934015937,0.11009120911458699,0.0023372749529423273,0.11857255188108211,0.0018680459614345475
Argentina,ARG,South America,Tech,768235.3620156376,126552.50538716177,552258.5968823953,97864.15123095793,0.08732808363325731,0.04328237889939275,0.08788403921341494,0.05582839759410883
Argentina,ARG,South America,ArmedForces,23907.77176374496,9563.108705497985,23907.77176374496,9563.108705497985,0.002717682620845888,0.003270690636911207,0.0038045791646368387,0.005455450523310067
Australia,AUS,Australia and New Zealand,Food,426490.0190527688,278732.655008007,212849.23151886128,120500.87899088516,0.11465334750381419,0.1605741254823239,0.08145575295270518,0.11010514262342058
Australia,AUS,Australia and New Zealand,Health,1200065.4611655923,602150.7493626437,1030399.5529942351,526722.4681959889,0.32261369832741554,0.34689093025234147,0.3943259312347518,0.48128157212916495
Australia,AUS,Australia and New Zealand,Retail,628136.7183507488,48318.209103903755,579818.509246845,44601.423788218846,0.16886204654665835,0.027835468978360384,0.22189205434096973,0.040753612492577106
Australia,AUS,Australia and New Zealand,Security,128315.44200142562,102652.35360114051,104790.94430116424,83832.75544093142,0.0344950510086256,0.05913663724737208,0.040102683057701975,0.07660041629270017
Australia,AUS,Australia and New Zealand,Transport,415528.9223074787,339978.20916066435,86043.86775053851,70399.52815953153,0.1117066749487287,0.19585686369418054,0.03292832200788111,0.06432608752350308
Australia,AUS,Australia and New Zealand,Manual,562628.3950254442,292676.7936538585,340342.4205984755,195127.08517096672,0.15125143850642875,0.16860715580163668,0.1302464093187881,0.17829326825131905
Australia,AUS,Australia and New Zealand,Cleaning,136214.10659405927,10763.301995445105,93088.13885637556,5157.415539484113,0.03661844967189713,0.00620059319985705,0.03562411002099449,0.004712479927935607
Australia,AUS,Australia and New Zealand,Tech,220090.9186181137,59637.379089945796,163381.20729556144,47134.17349622058,0.059167060065792774,0.034356290234995195,0.06252472308034934,0.043067859244669694
Australia,AUS,Australia and New Zealand,ArmedForces,2351.795647354955,940.7182589419821,2351.795647354955,940.7182589419821,0.0006322334206390491,0.0005419351089326933,0.0009000139858584226,0.0008595615147097607
Austria,AUT,Western Europe,Food,167301.20021777647,130216.28025039272,86298.80210298253,63120.72712336768,0.10151556260502753,0.17054244243469174,0.0734255287701368,0.12661925233829463
Austria,AUT,Western Europe,Health,384653.81620436016,199689.20899143745,334263.98646655004,176711.96049748725,0.23340148492256554,0.2615301663030621,0.2844015137757289,0.3544815995812995
Austria,AUT,Western Europe,Retail,284973.1330450875,21921.0102342375,263052.12281085004,20234.77867775769,0.172916918053978,0.0287096407514794,0.22381239068005673,0.040590669090376105
Austria,AUT,Western Europe,Security,42393.50968477679,33914.80774782143,34621.36624256772,27697.092994054172,0.025723670725911047,0.044417749738316845,0.02945686453528702,0.055559962102417704
Austria,AUT,Western Europe,Transport,146361.71273779342,119750.4922400128,30307.223344694594,24796.819100204673,0.08880983276313519,0.15683554613983677,0.02578626638389835,0.04974205523170381
Austria,AUT,Western Europe,Manual,306664.44841544906,160435.94180504043,188815.7225921802,108595.24486344066,0.1860788444513916,0.21012071084451933,0.16064990398015214,0.21784046760469686
Austria,AUT,Western Europe,Cleaning,96562.30306115409,3077.8342391757683,71427.71148410435,1474.7955729383893,0.05859238612114071,0.004030996489446823,0.06077277270086091,0.002958418277284933
Austria,AUT,Western Europe,Tech,214192.23163196212,92563.1475951192,161604.636864687,73903.65647295848,0.1299682540916681,0.12122866080922996,0.13749792145823417,0.14824965037843998
Austria,AUT,Western Europe,ArmedForces,4932.645001639943,1973.0580006559776,4932.645001639943,1973.0580006559776,0.0029930462651824416,0.002584086489417019,0.004196837715645046,0.003957925395486498
Burundi,BDI,Eastern Africa,Food,4662438.537616631,4658804.429220011,109687.26046498952,107415.94271710211,0.9153039333635326,0.9767842622766303,0.2627660710356279,0.6415284366682241
