Region,occupational_group,% of Essential Workers,% of Vital Workers,% of Indoor Essential Workers,% of Indoor Vital Workers
Melanesia,ArmedForces,0.0017143140345276084,0.001059414040357399,0.005163820405369283,0.006602376120824828
Micronesia,Food,0.36976987605168743,0.5907379891404176,0.10280465010285274,0.14003828669238108
Micronesia,Health,0.05136919616393404,0.04726475814572822,0.08270387134975375,0.10716010661398587
Micronesia,Retail,0.15263797065872126,0.020168276720928992,0.1908809775156743,0.03590704693998808
Micronesia,Security,0.09587105324677488,0.13250989688155326,0.1567661121798053,0.3066920837674659
Micronesia,Transport,0.051287645731069975,0.07249923411882535,0.0686162971146583,0.13728955370707663
Micronesia,Manual,0.18934209383358247,0.10611193401503032,0.2706965925878805,0.21029700917878175
Micronesia,Cleaning,0.04170760179414125,0.008001325944391978,0.05052209179194362,0.011574339844318245
Micronesia,Tech,0.044605018332458904,0.02035030368742461,0.07143420015464669,0.0455879969355784
Micronesia,ArmedForces,0.0034095441876298475,0.002356281345699772,0.005575207202784793,0.005453576320424051
Middle Africa,Food,0.7556524073995876,0.917687730495893,0.00900490053691974,0.013680060065919215
Middle Africa,Health,0.017172461148826076,0.011813080908693603,0.08451870256613887,0.15588946992708202
Middle Africa,Retail,0.13153784343623956,0.011695584137984097,0.4817144160908955,0.12134000385473767
Middle Africa,Security,0.013212040736089574,0.012852483269872315,0.06617055634653077,0.17334546581368818
Middle Africa,Transport,0.023742962927278503,0.023621740534911725,0.09729255772586802,0.26066766294654603
Middle Africa,Manual,0.026532369709588215,0.01353200458601068,0.11703120112693094,0.1653123615259663
Middle Africa,Cleaning,0.012862471565548825,0.0012084053634055898,0.04953553738460236,0.01018633842060343
Middle Africa,Tech,0.01634107536779858,0.006155878630483469,0.07997568034224392,0.08025007597700302
Middle Africa,ArmedForces,0.002946367709042918,0.0014330920727456873,0.014756447879869858,0.019328561468454103
Northern Africa,Food,0.3768822606552247,0.6240759057779484,0.024585833513719128,0.032402701148974505
Northern Africa,Health,0.037240201426536966,0.0376564732923982,0.07151682906237591,0.1083512676830226
Northern Africa,Retail,0.22373999830551256,0.025900602776887657,0.30393828398150335,0.059231067182172456
Northern Africa,Security,0.028002511432294673,0.03769277349317123,0.05528962488201695,0.11205755262820669
Northern Africa,Transport,0.11052045194223079,0.15214707268896166,0.17854148254478924,0.3700807228001299
Northern Africa,Manual,0.1360839534915392,0.0895035100398884,0.2268717526006014,0.23144141329331214
Northern Africa,Cleaning,0.03345911377808513,0.008892982522197,0.04635641075789289,0.01652382148900758
Northern Africa,Tech,0.045421293791547,0.018308869423338037,0.07582034485585147,0.052603685777491284
Northern Africa,ArmedForces,0.008650215177028938,0.005821809985209342,0.017079437801249677,0.01730776799768279
Northern America,Food,0.07779300029301513,0.07683281328494973,0.054397815663920865,0.010416098970375761
Northern America,Health,0.3029886806062454,0.3861328321109495,0.347762966518897,0.44466578569779236
Northern America,Retail,0.16287833147245886,0.026498288709780094,0.146181197685663,0.024313309124021205
Northern America,Security,0.039021923342971825,0.06689797425154156,0.046131403549966025,0.07979626492984387
Northern America,Transport,0.11229801155675855,0.19689568528028878,0.1086200222536969,0.19215673905275016
Northern America,Manual,0.15628972748302808,0.17503665660315834,0.1472413512492326,0.1714263179494346
Northern America,Cleaning,0.048093258109635606,0.014328898573175972,0.040792285299493754,0.01068224224547113
Northern America,Tech,0.09010480318465901,0.04834875797267061,0.09642180014759939,0.05577448369443324
Northern America,ArmedForces,0.010532263951227657,0.009028093213485456,0.012451157631530523,0.010768758335877567
Northern Europe,Food,0.12548413982634588,0.1457058186466227,0.07554090646467272,0.01100213724590728
Northern Europe,Health,0.34059428537359804,0.3646904415358824,0.4025676072265132,0.4522945026210828
Northern Europe,Retail,0.13975604995000138,0.023340818930809873,0.12591998851965727,0.02250747368354339
Northern Europe,Security,0.0422954168590782,0.0746795252055388,0.0503605131872756,0.0936171815230442
Northern Europe,Transport,0.0979678729425967,0.17690974422652989,0.09543998018259424,0.1814494234905867
Northern Europe,Manual,0.12359735921539891,0.1404940404463359,0.12318098218569275,0.15283699653323551
Northern Europe,Cleaning,0.046238495879773266,0.008411964882329316,0.042097797585898024,0.006590699067005527
Northern Europe,Tech,0.07844967448620581,0.06080903679373213,0.07820449839398814,0.07348554430776529
Northern Europe,ArmedForces,0.005616705467001636,0.004958609332219003,0.006687726253707944,0.006216041527829344
Polynesia,Food,0.4533627585684772,0.6564283874360565,0.05481288376294924,0.040410632034618206
