Country Name,Country Code,Region,occupational_group,occupancy_group,occupancy_category,Essential Workers,Vital Workers,Indoor Essential Workers,Indoor Vital Workers,Scaled ECA (L/s/person),Indoor Essential CADR Requirement (L/s),Indoor Vital CADR Requirement (L/s)
Brunei Darussalam,BRN,South-eastern Asia,Tech,Commercial/Retail,Office,9906.168177389922,4035.897863178132,7660.644216958104,3225.740187147945,85.5,654985.0805499179,275800.78600114933
Brunei Darussalam,BRN,South-eastern Asia,ArmedForces,Correctional facilities,Dayroom,2640.5333881817114,1056.2133552726846,2640.5333881817114,1056.2133552726846,114.0,301020.8062527151,120408.32250108605
Bhutan,BTN,Southern Asia,Food,Industrial,Manufacturing,153859.35387312702,152348.96671596647,72603.08813813074,71659.0961649054,142.5,10345940.05968363,10211421.20349902
Bhutan,BTN,Southern Asia,Health,Health care,Patient room,4687.696950412385,2750.874078126345,4285.468533971534,2536.611549411648,199.5,854950.9725273211,506054.00410762377
Bhutan,BTN,Southern Asia,Retail,Commercial/Retail,Retail,10806.618855247307,818.7338565488526,9824.80627858623,755.7543291220177,114.0,1120027.9157588303,86155.99351991001
Bhutan,BTN,Southern Asia,Security,Commercial/Retail,Office,8491.620125250234,6793.2961002001875,6934.823102287691,5547.858481830153,85.5,592927.3752455976,474341.9001964781
Bhutan,BTN,Southern Asia,Transport,Commercial/Retail,Transportation waiting,23363.64835877166,19115.712293540448,4837.927185402213,3958.3040607836288,171.0,827285.5487037784,676869.9943940005
Bhutan,BTN,Southern Asia,Manual,Industrial,Manufacturing,16165.341712153726,5589.439825986416,9889.520505896724,3518.513767791576,142.5,1409256.6720902831,501388.21191029955
Bhutan,BTN,Southern Asia,Cleaning,Commercial/Retail,Office,2349.117216379741,156.26945321607326,1640.4359880650445,74.87911299936845,85.5,140257.2769795613,6402.164161446002
Bhutan,BTN,Southern Asia,Tech,Commercial/Retail,Office,6631.894388568542,2447.909297178964,4931.863661594992,1947.4480865819135,85.5,421674.3430663718,166506.8114027536
Bhutan,BTN,Southern Asia,ArmedForces,Correctional facilities,Dayroom,1460.2223081027523,584.0889232411012,1460.2223081027523,584.0889232411012,114.0,166465.34312371377,66586.13724948553
Botswana,BWA,Southern Africa,Food,Industrial,Manufacturing,243107.40089724638,239683.59745107233,25378.407894682714,23238.53074082393,142.5,3616423.124992287,3311490.63056741
Botswana,BWA,Southern Africa,Health,Health care,Patient room,35629.50547777417,19836.201654337397,31012.719877598272,17652.38032136154,199.5,6187037.615580855,3521649.874111627
Botswana,BWA,Southern Africa,Retail,Commercial/Retail,Retail,77076.8775829026,5928.9905833002,71147.8869996024,5472.914384584799,114.0,8110859.117954673,623912.2398426671
Botswana,BWA,Southern Africa,Security,Commercial/Retail,Office,59095.470236318906,47276.376189055125,48261.30069299378,38609.04055439501,85.5,4126341.209250968,3301072.9674007734
Botswana,BWA,Southern Africa,Transport,Commercial/Retail,Transportation waiting,33399.57201077174,27326.922554267792,6916.072992129502,5658.605175378685,171.0,1182648.4816541448,967621.4849897552
Botswana,BWA,Southern Africa,Manual,Industrial,Manufacturing,47501.26262412179,21426.36560754165,28529.234581118682,13884.705326310186,142.5,4065415.927809412,1978570.5089992015
Botswana,BWA,Southern Africa,Cleaning,Commercial/Retail,Office,81748.57959250086,8910.448452507604,52939.1929203388,4269.589883493228,85.5,4526300.994688967,365049.93503867096
Botswana,BWA,Southern Africa,Tech,Commercial/Retail,Office,18244.391877977858,3931.448271779379,13330.814092270319,3080.8253736289835,85.5,1139784.6048891123,263410.5694452781
Botswana,BWA,Southern Africa,ArmedForces,Correctional facilities,Dayroom,866.3553603576328,346.5421441430531,866.3553603576328,346.5421441430531,114.0,98764.51108077014,39505.804432308054
Switzerland,CHE,Western Europe,Food,Industrial,Manufacturing,147413.89711101344,117995.69994708707,71523.3832624219,53137.010034967934,142.5,10192082.114895122,7572023.92998293
Switzerland,CHE,Western Europe,Health,Health care,Patient room,507024.55710232985,277674.0705849966,450224.82166605047,250370.30761337827,199.5,89819851.92237706,49948876.36886897
Switzerland,CHE,Western Europe,Retail,Commercial/Retail,Retail,167872.26622250283,12913.251247884835,154959.014974618,11919.924228816768,114.0,17665327.707106452,1358871.3620851114
Switzerland,CHE,Western Europe,Security,Commercial/Retail,Office,38898.53852495477,31118.830819963812,31767.139795379724,25413.71183630378,85.5,2716090.4525049664,2172872.362003973
Switzerland,CHE,Western Europe,Transport,Commercial/Retail,Transportation waiting,99385.00026118926,81315.0002137003,20579.722276306868,16837.95458970562,171.0,3519132.509248474,2879290.234839661
Switzerland,CHE,Western Europe,Manual,Industrial,Manufacturing,271228.98296884296,138863.463241818,169691.73418556526,94177.29140963849,142.5,24181072.121443048,13420264.025873486
Switzerland,CHE,Western Europe,Cleaning,Commercial/Retail,Office,81592.26957943707,1870.306932105943,61226.67639288008,896.1887383007643,85.5,5234880.831591247,76624.13712471534
Switzerland,CHE,Western Europe,Tech,Commercial/Retail,Office,268988.7234520251,111883.90636853885,206518.34868805614,89398.80625207034,85.5,17657318.8128288,7643597.934552014
Switzerland,CHE,Western Europe,ArmedForces,Correctional facilities,Dayroom,2460.578195967527,984.2312783870109,2460.578195967527,984.2312783870109,114.0,280505.91434029804,112202.36573611925
Chile,CHL,South America,Food,Industrial,Manufacturing,655381.6716268453,562215.986629074,259895.07420192575,201666.52107831865,142.5,37035048.07377442,28737479.253660407
Chile,CHL,South America,Health,Health care,Patient room,547933.1262816628,302455.8573402904,485724.5403680984,272488.94462634734,199.5,96902045.80343564,54361544.4529563
Chile,CHL,South America,Retail,Commercial/Retail,Retail,1058367.429019201,76949.38859792387,923392.6631750864,71030.20485962203,114.0,105266763.60195984,8097443.353996911
Chile,CHL,South America,Security,Commercial/Retail,Office,226750.25237507705,181400.20190006166,185179.37277297958,148143.49821838364,85.5,15832836.372089755,12666269.097671801
Chile,CHL,South America,Transport,Commercial/Retail,Transportation waiting,608359.5152002628,497748.6942547605,125973.43496571097,103069.17406285444,171.0,21541457.379136577,17624828.764748108
Chile,CHL,South America,Manual,Industrial,Manufacturing,648148.4028641452,301758.85899588827,397609.7040661401,200914.48177399926,142.5,56659382.82942496,28630313.652794894
Chile,CHL,South America,Cleaning,Commercial/Retail,Office,326975.82440824783,12377.90835248457,239529.80622983622,5931.081085565523,85.5,20479798.432651,507107.43281585217
Chile,CHL,South America,Tech,Commercial/Retail,Office,239613.562641358,71769.05385058209,177757.88540075292,56849.598599768666,85.5,15198299.201764375,4860640.680280221
