Country Name,Country Code,Labour Force (2024),Region,%Indoor Essential Workers,%Indoor Vital Workers,%Essential Workers,%Vital Workers,%Armed Forces (Indoor Essential),%Armed Forces (Essential),%Onsite Excluded Essential (ISCO 61+63),%Onsite Excluded Vital (ISCO 61+63),Indoor Essential Workers,Indoor Vital Workers,Essential Workers,Vital Workers,Armed Forces (Indoor Essential),Armed Forces (Essential),Indoor Essential CADR Requirement (L/s),Indoor Vital CADR Requirement (L/s),Scaled ECA Essential (L/s/person),Scaled ECA Vital (L/s/person)
Equatorial Guinea,GNQ,715000.0,Middle Africa,0.3429452501628764,0.10755190657821728,0.6096891627542552,0.3078650782990148,,,0.15531406917526439,0.15531406917526439,245205.85386645663,76899.61320342535,435927.7513692925,220123.53098379562,,,355669018.02882344,123873082.33106641,124.71018472151313,139.2952307619454
Greece,GRC,4650000.0,Southern Europe,0.30768596525241027,0.11557624176314918,0.439548046059345,0.21047461116050456,0.0017395367943176799,0.0017395367943176799,0.07257063417391323,0.07257063417391323,1430739.7384237077,537429.5241986436,2043898.4141759542,978706.9418963462,8088.846093577211,8088.846093577211,190342689.6196117,79809708.53806381,133.03795547701668,148.50265001177104
Grenada,GRD,58405.654584,Caribbean,0.29120258009051675,0.11943507530021898,0.45959666272726873,0.24573474932671852,0.0017170681015561732,0.0017170681015561732,0.07284573016935193,0.07284573016935193,17007.877306736318,6975.68375319862,26843.043931208005,14352.298888462148,100.28648643669449,100.28648643669449,2218698.032670155,973200.7601608032,130.4512016788476,139.5133143348927
Greenland,GRL,28992.0,Northern America,0.2617676036950138,0.11284998516648478,0.3222849967757124,0.15204865952385516,,,0.014162176638538741,0.014162176638538741,7589.16636632584,3271.746769946727,9343.686626521454,4408.194736915609,,,9764824.434714388,4478719.06960452,150.41697872337306,160.0297160914331
Guatemala,GTM,7580000.0,Central America,0.3887859279153263,0.12093806347055622,0.6623541729439154,0.32996538900806316,0.0017650256973390033,0.0017650256973390033,0.11005739801746803,0.11005739801746803,2946997.333598173,916710.5211068161,5020644.630914879,2501137.6486811186,13378.894785829645,13378.894785829645,376877680.07393897,130658612.28688832,127.88531424077858,142.52984914925378
Guam,GUM,77700.0,Micronesia,0.22443065430762793,0.09134795802167128,0.40569375763819204,0.24713624220235414,,,0.11985210486036613,0.11985210486036613,17438.26183970269,7097.7363382838585,31522.40496848752,19202.486019122916,,,909345.9692319037,390154.4492524362,125.83947140882009,133.26383590725072
Guyana,GUY,292000.0,South America,0.37599091970142134,0.16603127928989475,0.5577639780262367,0.29093813574127897,0.003276579039590774,0.003276579039590774,0.05868645754305883,0.05868645754305883,109789.34855281503,48481.13355264927,162867.08158366111,84953.93563645346,956.7610795605061,956.7610795605061,13930582.248193618,6543268.947743236,126.88464256158876,134.96526314999244
Hong Kong,HKG,3840000.0,Eastern Asia,0.2219045890323851,0.09247000337750397,0.3659435936873028,0.20974185425275715,,,0.07414138840955777,0.07414138840955777,852113.6218843588,355084.8129696152,1405223.3997592428,805408.7203305875,,,3669953399.229613,1661221984.32465,135.05814173269476,147.62087216815934
Honduras,HND,4300000.0,Central America,0.3412766969115658,0.12202822469890498,0.5870499025968495,0.31253882148229734,0.0020032702772821618,0.0020032702772821618,0.06477357183841144,0.06477357183841144,1467489.796719733,524721.3662052914,2524314.581166453,1343916.9323738785,8614.062192313295,8614.062192313295,187436320.17694837,74091502.85900292,127.72580810846054,141.20161219052676
Croatia,HRV,1730000.0,Southern Europe,0.2712897610976842,0.13184223969418873,0.3377727664946621,0.1742639922384475,0.0036446469248291574,0.0036446469248291574,0.018405933242850735,0.018405933242850735,469331.2866989937,228087.07467094652,584346.8860357654,301476.70657251414,6305.239179954442,6305.239179954442,64999232.79966695,33916380.08295205,138.49328745337684,148.69926378722715
Haiti,HTI,5280000.0,Caribbean,0.3412766969115658,0.12202822469890498,0.5870499025968495,0.31253882148229734,,,0.06477357183841144,0.06477357183841144,1801940.9596930675,644309.0264102183,3099623.4857113655,1650204.9774265299,,,187436320.17694837,74091502.85900292,127.72580810846054,141.20161219052676
Hungary,HUN,4950000.0,Eastern Europe,0.26313920307907945,0.12974948048148613,0.33030211149064265,0.17359384363965538,0.001936544136237683,0.001936544136237683,0.020523031300322576,0.020523031300322576,1302539.0552414432,642259.9283833563,1634995.451878681,859289.5260162941,9585.893474376531,9585.893474376531,182161832.81771633,95609743.47555839,139.8513404144724,148.8645628510864
Indonesia,IDN,143000000.0,South-eastern Asia,0.2891964611330595,0.09099008416434852,0.6027050774044155,0.34816369396542307,0.0015511620867556734,0.0015511620867556734,0.18392574440161363,0.18392574440161363,41355093.94202751,13011582.035501838,86186826.06883141,49787408.2370555,221816.17840606128,221816.17840606128,5227671865.060953,1858932217.5083318,126.40938193464679,142.86750161788729
Isle of Man,IMN,36555.0,Northern Europe,0.25187604775028555,0.10696079150533236,0.29940401169345676,0.132920873103946,,,0.00833403644140346,0.00833403644140346,9207.328925511689,3909.9517334774246,10944.713647454311,4858.922516314747,,,1382630304.5606441,616713371.0257806,155.0657697904588,162.87539968817845
India,IND,608000000.0,Southern Asia,0.20957647576057553,0.08733007452426411,0.6181000000000001,0.46098822659214045,0.0017667783489192473,0.0017667783489192473,0.29640478452827146,0.29640478452827146,127422497.26242992,53096685.31075258,375804800.00000006,280280841.7680214,1074201.2361429024,1074201.2361429024,16978252495.107475,7801876981.51503,133.24375883279328,146.9371757550198
Ireland,IRL,2860000.0,Northern Europe,0.25157071256623964,0.10212373922342874,0.3181151439585166,0.14541179698253467,0.0013470827474043108,0.0013470827474043108,0.02732508060872628,0.02732508060872628,719492.2379394454,292073.89417900617,909809.3117213574,415877.73937004915,3852.656657576329,3852.656657576329,109870780.40106782,48213143.51236663,152.7059982130271,165.07173175435452
Iran,IRN,28600000.0,Southern Asia,0.30496088935060106,0.1415978805037398,0.4882404132399553,0.2810681713750059,0.001731378708411637,0.001731378708411637,0.08923590336724373,0.08923590336724373,8721881.43542719,4049699.3824069584,13963675.818662722,8038549.701325169,49517.43106057282,49517.43106057282,1218303713.0051837,621547081.2278371,139.68359029240943,153.479807397066
Iraq,IRQ,12000000.0,Western Asia,0.3680207677487198,0.17918498574340613,0.5089697818155906,0.2792188938271112,0.020433985356144123,0.020433985356144123,0.0685390052289934,0.0685390052289934,4416249.212984637,2150219.828920874,6107637.381787087,3350626.7259253343,245207.82427372946,245207.82427372946,563422726.9007881,280540333.1071401,127.57946839689548,130.47053577211884
Iceland,ISL,248000.0,Northern Europe,0.2617676036950138,0.11284998516648478,0.3222849967757124,0.15204865952385516,0.0017605389752312062,0.0017605389752312062,0.014162176638538741,0.014162176638538741,64918.36571636342,27986.796321288228,79926.67920037667,37708.067561916076,436.61366585733913,436.61366585733913,9764824.434714388,4478719.06960452,150.41697872337306,160.0297160914331
Israel,ISR,4710000.0,Western Asia,0.22962328376122787,0.10282938306149754,0.25973184012029976,0.1177485575146867,0.0016299287776987846,0.0016299287776987846,0.00534069475532796,0.00534069475532796,1081525.6665153832,484326.3942196534,1223336.9669666118,554595.7058941744,7676.964542961276,7676.964542961276,167506721.7477872,78531799.90517987,154.88002451896008,162.14643852253872
Italy,ITA,25800000.0,Southern Europe,0.2647266441283876,0.11200600746670503,0.3359170769217655,0.15317209129087533,0.0039196458805568915,0.0039196458805568915,0.01813390910279111,0.01813390910279111,6829947.4185124,2889754.99264099,8666660.58458155,3951839.9553045835,101126.86371836781,101126.86371836781,952572271.9559414,441245259.6171761,139.46992759768813,152.692965576959
