Country Name,Country Code,Essential Workers (Housing Requirement),Vital Workers (Housing Requirement),Essential Workers,Vital Workers
Croatia,HRV,563278.275841845,270520.3300130169,599643.7233172983,306885.77748847025
Haiti,HTI,2663340.974891822,1201522.3072197796,3079823.999999999,1618005.3323279568
Hungary,HUN,1571963.0574252359,774109.5230133339,1674143.696062941,876290.1616510393
Indonesia,IDN,59885444.619400665,23486026.787624754,86186826.06883141,49787408.2370555
Isle of Man,IMN,10625.734112778246,4568.103947977868,10933.600500000004,4875.970335199627
India,IND,187612130.4932052,96053707.433694,375804800.00000006,284246376.9404889
Ireland,IRL,835334.893467281,339708.61112998973,930085.2899844545,434459.00764716323
Iran,IRN,11050016.913881961,5269896.192827212,13685100.0,7904979.2789452495
Iraq,IRQ,5135770.210173005,2446198.878123848,5958238.272920926,3268666.9408717686
Iceland,ISL,75815.15338420265,33976.318689082706,79327.37319056026,37488.53849544031
Israel,ISR,1102891.3068362654,488541.1423149687,1128986.9999999998,514636.83547870297
Italy,ITA,8234875.164172336,3530837.6432446702,8736096.900803043,4032059.379875376
Jamaica,JAM,501777.62290222,197452.284275783,534441.9963768511,230116.6577504141
Jordan,JOR,1435675.3480519697,540477.3620212597,1487332.0000000002,592134.0139692903
Japan,JPN,21696531.41754501,7800762.973738739,23513002.63161272,9617234.187806452
Kazakhstan,KAZ,2302385.464342252,1061593.273304447,5765940.000000002,4525147.808962197
Kenya,KEN,7311466.423882867,3516135.2109021405,14979720.000000002,11184388.787019275
Kyrgyzstan,KGZ,1257804.67623199,526596.8987557816,1719999.9999999993,988792.2225237907
Cambodia,KHM,3507928.5901383245,1424089.469419574,5746950.000000001,3663110.8792812503
Kiribati,KIR,24230.798016226036,13371.935137110053,24537.590999999997,13678.728120884016
St. Kitts and Nevis,KNA,11762.988905907001,8869.638168830825,18968.433600000004,16075.082862923828
South Korea,KOR,9930923.63830195,4201212.864806617,12581684.560617939,6851973.787122605
Kuwait,KWT,971460.3878421306,403506.11823431996,1005205.690985774,437251.4213779634
Laos,LAO,508749.012950493,158054.46240734519,2039168.0,1688473.4494568522
Lebanon,LBN,646034.6670712072,265254.541952828,678806.0000000001,298025.8748816209
Liberia,LBR,799671.2506667285,268522.8462100475,1341138.8650541499,809990.4605974689
Libya,LBY,989281.05095307,478208.6249959223,1214405.9999999998,703333.574042852
St. Lucia,LCA,54916.92001110007,41408.966185497266,88556.40000000002,75048.44617439722
Liechtenstein,LIE,5712.821889870622,2055.8537127777386,5969.7392,2312.771022907117
Sri Lanka,LKA,3042570.584173619,1704493.4464379232,3952499.9999999995,2614422.862264304
Lesotho,LSO,328310.0195504111,155884.26521131472,503968.3999999997,331542.6456609033
Lithuania,LTU,460921.33539333945,216191.98150004743,494463.40268101497,249734.04878772292
Luxembourg,LUX,65768.17805975114,27966.662108081575,69940.61224553235,32139.09629386278
Latvia,LVA,288007.3662829832,138573.8559900448,304884.1612942375,155450.6510012991
Macau,MAC,77696.93942747448,36843.63570319439,106836.32921660064,65983.02549232055
Saint-Martin,MAF,,,,
Morocco,MAR,4793028.347640843,2316902.252887221,5883749.999999999,3407623.9052463765
Monaco,MCO,21537.552899924056,7750.645643611792,22506.1408,8719.233543687738
Moldova,MDA,378826.6196329914,179211.30222594755,663997.3333333334,464382.01592628955
Madagascar,MDG,8883619.413560305,6698509.235889262,14325300.000000004,12140189.82232896
Maldives,MDV,64535.87176530719,29919.3214448726,104247.0,69630.44967956541
Mexico,MEX,32268259.93161904,12065453.534314955,35800900.0,15598093.602695912
Marshall Islands,MHL,4042.5644939046383,1782.8173443848468,5250.168000000001,2990.420850480209
North Macedonia,MKD,324132.96381647687,151659.62043757195,356314.6000000001,183841.25662109518
Mali,MLI,1849474.075520182,419925.5369193172,7100130.073686945,5670581.53508608
Malta,MLT,98612.67731929611,40344.553245070696,107722.32039391063,49454.196319685216
Myanmar,MMR,9795515.67536807,3992720.8503170935,17025000.000000004,11222205.174949026
Montenegro,MNE,85691.72087348987,35451.99389451268,100249.0670030113,50009.34002403411
Mongolia,MNG,456841.29048100783,195217.51637285476,810549.9999999999,548926.2258918468
Northern Mariana Islands,MNP,6516.762545714055,2893.1905299824643,9267.505799999999,5643.933784268409
Mozambique,MOZ,3050040.660000507,1146612.8477248512,13213359.999999993,11309932.187724337
Mauritania,MRT,466492.22989122465,126069.46364138537,753588.0,413165.2337501607
Mauritius,MUS,216084.77634611924,89348.60784680374,233764.6447055646,107028.47620624909
Malawi,MWI,1793607.8920748457,783512.4783341857,6310714.185889189,5300618.772148529
Malaysia,MYS,7383018.689922225,3312016.111669906,10583763.788939307,6512761.210686988
Namibia,NAM,468394.5236138324,272843.3581353105,493706.541125649,298155.3756471271
New Caledonia,NCL,36143.52664644658,16878.53825132037,64072.1,44807.11160487379
Niger,NER,4048073.0693040155,1093991.2134169806,6539400.0,3585318.144112965
Nigeria,NGA,30245072.985996142,12595397.37189322,71079045.13394257,53429369.51983965
