Country Name,Country Code,Labour Force (2024),Region,%ECW ILO,%ECW Poll,%Critical Workers,%Vital Workers,%Armed Forces (ECW ILO),%Armed Forces (Critical),ECW ILO,ECW Poll,Critical Workers,Vital Workers,Armed Forces (ECW ILO),Armed Forces (Critical)
Georgia,GEO,1830000.0,Western Asia,0.17421437395524356,0.0874180528315187,0.5892143457187867,0.462469124438215,0.0024528182367675273,0.0024528182367675273,318812.3043380957,159975.03668167922,1078262.2526653798,846318.4977219334,4488.6573732845745,4488.6573732845745
Ghana,GHA,13900000.0,Western Africa,0.24505318593104192,0.09271098231156782,0.6630858465827645,0.4521405413661039,0.0,0.0,3406239.2844414827,1288682.6541307927,9216893.267500427,6284753.524988844,0.0,0.0
Gibraltar,GIB,27000.0,Southern Europe,0.18869289336722966,0.05917547567553361,0.3172035822338537,0.12288107335826012,,,5094.708120915201,1597.7378432394075,8564.49672031405,3317.788980673023,,
Guinea,GIN,4530000.0,Western Africa,0.27344679072102546,0.055639812944508406,0.7077707794758886,0.4227975335625138,0.004082322446408544,0.004082322446408544,1238713.9619662454,252048.35263862307,3206201.6310257753,1915272.8270381875,18492.920682230706,18492.920682230706
Gambia,GMB,783000.0,Western Africa,0.2977477668636774,0.08423849192993038,0.6370985920917082,0.3364454688551598,0.0014037362362282052,0.0014037362362282052,233136.50145425939,65958.73918113549,498848.19760780747,263436.8021135901,1099.1254729666846,1099.1254729666846
Guinea-Bissau,GNB,845000.0,Western Africa,0.17640589060090708,0.05795415126655638,0.7700467814066183,0.6109187838167426,0.004018428102012306,0.004018428102012306,149062.97755776648,48971.257820240135,650689.5302885924,516226.3723251475,3395.5717462003986,3395.5717462003986
Equatorial Guinea,GNQ,715000.0,Middle Africa,0.17020655212268934,0.055304438309726235,0.5340825209778701,0.3641065234672587,,,121697.68476772288,39542.67339145426,381869.0024991771,260336.16427908998,,
Greece,GRC,4650000.0,Southern Europe,0.2326352277876698,0.08621950389026464,0.41551551839078554,0.21151724694767834,0.0,0.0,1081753.8092126646,400920.6930897306,1932147.1605171529,983555.1983067043,0.0,0.0
Grenada,GRD,58405.654584,Caribbean,0.15099601841106094,0.057639105643631984,0.3022223262926504,0.15781635174574568,0.0035859696071872315,0.0035859696071872315,8819.02129487573,3366.449694752655,17651.49279702148,9217.367327769069,209.4409022260996,209.4409022260996
Greenland,GRL,28992.0,Northern America,0.19295344806437884,0.07551162008521906,0.31986844028451716,0.15116346167516256,,,5594.106366282471,2189.2328895106707,9273.625820728721,4382.531080886313,,
Guatemala,GTM,7580000.0,Central America,0.26512478622510444,0.08527234095151502,0.6061982627428264,0.3416752684018262,0.00044999323188213343,0.00044999323188213343,2009645.8795862917,646364.3444124839,4594982.8315906245,2589898.5344858426,3410.9486976665717,3410.9486976665717
Guam,GUM,77700.0,Micronesia,0.18952477359336578,0.07427614366857585,0.45547129305954237,0.27759779050945155,,,14726.07490820452,5771.256363048344,35390.119470726444,21569.348322584385,,
Guyana,GUY,292000.0,South America,0.24744341044868542,0.08811503083001987,0.5179227294167399,0.2723780530771378,0.0028431085520965486,0.0028431085520965486,72253.47585101615,25729.589002365803,151233.43698968805,79534.39149852424,830.1876972121922,830.1876972121922
Hong Kong,HKG,3840000.0,Eastern Asia,0.1263577169266969,0.05509502938407907,0.28018306048714453,0.1731137645922616,,,485213.6329985161,211564.91283486364,1075902.952270635,664756.8560342846,,
Honduras,HND,4300000.0,Central America,0.2716330497638068,0.09168002178526838,0.5537336988764378,0.2946374840709262,0.0011682747767080492,0.0011682747767080492,1168022.1139843692,394224.09367665404,2381054.9051686823,1266941.1815049828,5023.581539844611,5023.581539844611
Croatia,HRV,1730000.0,Southern Europe,0.19431295716283645,0.08000117956920273,0.3466148689695366,0.17739062282570534,0.0029006479908333,0.0029006479908333,336161.41589170706,138402.04065472074,599643.7233172983,306885.77748847025,5018.121024141609,5018.121024141609
Haiti,HTI,5280000.0,Caribbean,0.2716330497638068,0.09168002178526838,0.5537336988764378,0.2946374840709262,,,1434222.5027529,484070.51502621704,2923713.9300675914,1555685.9158944904,,
Hungary,HUN,4950000.0,Eastern Europe,0.18311847304130846,0.07916300354185599,0.33821084768948306,0.17702831548505843,0.002002675186845944,0.002002675186845944,906436.4415544769,391856.86753218714,1674143.696062941,876290.1616510393,9913.242174887422,9913.242174887422
Indonesia,IDN,143000000.0,South-eastern Asia,0.2874253221915798,0.10656318581801659,0.6027050774044155,0.34816369396542307,0.0015511620867556734,0.0015511620867556734,41101821.07339591,15238535.571976373,86186826.06883141,49787408.2370555,221816.17840606128,221816.17840606128
Isle of Man,IMN,36555.0,Northern Europe,0.18244938301326194,0.0696737152468,0.2963924653102963,0.13229389437403988,,,6669.43719604979,2546.922660846774,10834.62656941788,4836.003308843027,,
India,IND,608000000.0,Southern Asia,0.23458167377396041,0.13610796921788898,0.6211408359605536,0.46981047658671155,0.0,0.0,142625657.65456793,82753645.2844765,377653628.26401657,285644769.7647206,0.0,0.0
Ireland,IRL,2860000.0,Northern Europe,0.1990911590951894,0.07663758936236982,0.3252046468477114,0.15190874393257456,0.0012339592445958386,0.0012339592445958386,569400.7150122417,219183.50557637768,930085.2899844545,434459.00764716323,3529.1234395440983,3529.1234395440983
Iran,IRN,28600000.0,Southern Asia,0.2254618731746456,0.09378437013989317,0.481953993104399,0.2784028105479926,0.0075150371179613104,0.0075150371179613104,6448209.572794865,2682232.986000945,13783884.202785812,7962320.381672588,214930.06157369347,214930.06157369347
Iraq,IRQ,12000000.0,Western Asia,0.25004324824316726,0.10799955583491533,0.4965198560767438,0.27238891173931407,0.020433985356144123,0.020433985356144123,3000518.978918007,1295994.670018984,5958238.272920926,3268666.9408717686,245207.82427372946,245207.82427372946
Iceland,ISL,248000.0,Northern Europe,0.19295344806437884,0.07551162008521906,0.31986844028451716,0.15116346167516256,0.0,0.0,47852.455119965955,18726.881781134325,79327.37319056026,37488.53849544031,0.0,0.0
Israel,ISR,4710000.0,Western Asia,0.1599548643732628,0.06253250517756098,0.25939770822310704,0.1182437137809096,0.0,0.0,753387.4111980678,294528.09938631224,1221763.205730834,556927.8919080843,0.0,0.0
Italy,ITA,25800000.0,Southern Europe,0.19639851249865567,0.07557354619672364,0.33860840700786987,0.15628137131299907,0.0037532399881984473,0.0037532399881984473,5067081.622465316,1949797.49187547,8736096.900803043,4032059.379875376,96833.59169551994,96833.59169551994
Jamaica,JAM,1570000.0,Caribbean,0.19387157644361805,0.06697528829317329,0.35257651122808875,0.15178508907815488,,,304378.37501648034,105151.20262028206,553545.1226280993,238302.58985270315,,
Jordan,JOR,3080000.0,Western Asia,0.23736294250229228,0.08224470645134584,0.42497486461540035,0.17856009139876608,0.0,0.0,731077.8629070602,253313.69587014517,1308922.583015433,549965.0815081996,0.0,0.0
Japan,JPN,69400000.0,Eastern Asia,0.201371482889493,0.06933157250761034,0.33880407250162425,0.1385768614957702,0.0,0.0,13975180.912530813,4811611.132028158,23513002.63161272,9617234.187806452,0.0,0.0
Kazakhstan,KAZ,10300000.0,Central Asia,0.17421437395524356,0.0874180528315187,0.5892143457187867,0.462469124438215,,,1794408.0517390086,900405.9441646426,6068907.760903503,4763431.981713614,,
Kenya,KEN,23800000.0,Eastern Africa,0.20317116391383114,0.12607908631648265,0.5663286428278869,0.4419747134722703,0.001729370901772382,0.001729370901772382,4835473.701149181,3000682.2543322872,13478621.699303707,10518998.180640033,41159.02746218269,41159.02746218269
Kyrgyz Republic,KGZ,3200000.0,Central Asia,0.23721433146133106,0.10425634009210653,0.518347158281542,0.3014753836327672,0.0006614677299125091,0.0006614677299125091,759085.8606762594,333620.2882947409,1658710.9065009344,964721.2276248551,2116.696735720029,2116.696735720029
Cambodia,KHM,9900000.0,South-eastern Asia,0.2585278071865792,0.09983997057560426,0.623880051933681,0.3977017768559798,0.002251265824536358,0.002251265824536358,2559425.291147134,988415.7086984821,6176412.514143442,3937247.5908741998,22287.531662909947,22287.531662909947
Kiribati,KIR,40794.0,Micronesia,0.23390347269132367,0.08784292946256342,0.5206715153048318,0.3056097820847319,0.0,0.0,9541.858264969858,3583.464464495812,21240.273795345307,12467.045450364552,0.0,0.0
St. Kitts and Nevis,KNA,21848.0,Caribbean,0.1788193580665751,0.11797794981775042,0.7571440188840576,0.6647373316068305,,,3906.8453350385325,2577.582247618211,16542.08252457889,14523.181220946031,,
South Korea,KOR,29700000.0,Eastern Asia,0.21203704555712327,0.0841917318599825,0.42413254877517437,0.23108951948489784,,,6297500.253046561,2500494.43624148,12596736.69862268,6863358.728701466,,
Kuwait,KWT,3000000.0,Western Asia,0.16864565464668235,0.0588441947540936,0.33506856366192467,0.14575047379265446,,,505936.9639400471,176532.5842622808,1005205.690985774,437251.4213779634,,
Laos,LAO,3580000.0,South-eastern Asia,0.21983536313791102,0.12422534713550146,0.7572656641953959,0.6289629698183722,0.013373527930809367,0.013373527930809367,787010.6000337214,444726.7427450952,2711011.0778195173,2251687.4319497724,47877.229992297536,47877.229992297536
Lebanon,LBN,1940000.0,Western Asia,0.23030687084862278,0.07717795022851559,0.4171767925729211,0.18330020275200623,0.017840541040505926,0.017840541040505926,446795.3294463282,149725.22344332025,809322.977591467,355602.3933388921,34610.6496185815,34610.6496185815
Liberia,LBR,2610000.0,Western Africa,0.1569582732859543,0.04942645935426638,0.4029219975959124,0.25899708736479365,0.0015978293638830268,0.0015978293638830268,409661.0932763407,129003.05891463524,1051626.4137253314,675982.3980221114,4170.3346397347,4170.3346397347
Libya,LBY,2580000.0,Northern Africa,0.225224723240718,0.10148995644665033,0.4753084309031849,0.27670269065772274,,,581079.7859610524,261844.08763235787,1226295.7517302171,713892.9418969246,,
St. Lucia,LCA,102000.0,Caribbean,0.1788193580665751,0.11797794981775042,0.7571440188840576,0.6647373316068305,,,18239.57452279066,12033.750881410542,77228.68992617387,67803.20782389671,,
Liechtenstein,LIE,20786.0,Western Europe,0.18869289336722966,0.05917547567553361,0.3172035822338537,0.12288107335826012,,,3922.170481531236,1230.0214373916417,6593.393660312883,2554.2059908247948,,
Sri Lanka,LKA,8500000.0,Southern Asia,0.20277600030443094,0.09919438273252446,0.5075121398828705,0.33575365036688937,0.002264139550017054,0.002264139550017054,1723596.002587663,843152.2532264579,4313853.189004399,2853906.0281185596,19245.18617514496,19245.18617514496
Lesotho,LSO,884000.0,Southern Africa,0.18247209135118847,0.05921965806384217,0.5879508522841712,0.38680444908369405,0.0015778334846508286,0.0015778334846508286,161305.3287544506,52350.17772843648,519748.55341920734,341935.1329899855,1394.8048004313325,1394.8048004313325
Lithuania,LTU,1550000.0,Northern Europe,0.16776655963333711,0.06871866317506388,0.3190086468909774,0.16111874115336963,0.0012984561750223442,0.0012984561750223442,260038.16743167254,106513.92792134901,494463.40268101497,249734.04878772292,2012.6070712846335,2012.6070712846335
Luxembourg,LUX,350000.0,Western Europe,0.11480779320421969,0.045596353789140086,0.199830320701521,0.09182598941103652,0.0007385740174882889,0.0007385740174882889,40182.72762147689,15958.72382619903,69940.61224553235,32139.09629386278,258.5009061209011,258.5009061209011
Latvia,LVA,955000.0,Northern Europe,0.1663999872453142,0.06770571028781278,0.31925043067459424,0.1627755507867006,0.0038939950532822856,0.0038939950532822856,158911.98781927506,64658.9533248612,304884.1612942375,155450.6510012991,3718.765275884583,3718.765275884583
Macau,MAC,382000.0,Eastern Asia,0.12635771692669692,0.055095029384079064,0.28018306048714453,0.1731137645922616,,,48268.647865998224,21046.3012247182,107029.92910608921,66129.45807424393,,
