Country Name,Country Code,Labour Force (2024),Region,%Indoor Essential Workers,%Indoor Vital Workers,%Essential Workers,%Vital Workers,%Armed Forces (Indoor Essential),%Armed Forces (Essential),%Onsite Excluded Essential (ISCO 61+63),%Onsite Excluded Vital (ISCO 61+63),Indoor Essential Workers,Indoor Vital Workers,Essential Workers,Vital Workers,Armed Forces (Indoor Essential),Armed Forces (Essential)
Faroe Islands,FRO,32200.0,Northern Europe,0.2056879837466296,0.08390241154673717,0.31986844028451716,0.15116346167516256,,,0.014162176638538741,0.014162176638538741,6623.1530766414735,2701.657651804937,10299.763777161452,4867.4634659402345,,
"Micronesia, Fed. Sts.",FSM,14500.0,Micronesia,0.23024060509704733,0.09436486884856209,0.4323333333333333,0.23325549775680574,,,0.040209424440210556,0.040209424440210556,3338.4887739071864,1368.2905983041503,6268.833333333333,3382.204717473683,,
Gabon,GAB,824000.0,Middle Africa,0.19464191056080293,0.06328895902207084,0.6976590492652326,0.5104435976589781,,,0.41107024105327544,0.41107024105327544,160384.9343021016,52150.10223418637,574871.0565945517,420605.5244709979,,
United Kingdom,GBR,35400000.0,Northern Europe,0.1957991801914791,0.07727867008007114,0.2991000000000001,0.13338723389959312,0.0010241260675180547,0.0010241260675180547,0.008422004848085298,0.008422004848085298,6931290.97877836,2735664.9208345185,10588140.000000004,4721908.080045597,36254.062790139134,36254.062790139134
Georgia,GEO,1830000.0,Western Asia,0.18174921017681112,0.09589352425542197,0.5598000000000002,0.4393347387341939,0.0024528182367675273,0.0024528182367675273,0.3362674306463835,0.3362674306463835,332601.05462356436,175485.1493874222,1024434.0000000003,803982.5718835748,4488.6573732845745,4488.6573732845745
Ghana,GHA,13900000.0,Western Africa,0.2709815392676412,0.10968687911972377,0.6796,0.45980558751831546,0.0,0.0,0.35932130550825925,0.35932130550825925,3766643.3958202126,1524647.6197641604,9446440.0,6391297.666504585,0.0,0.0
Gibraltar,GIB,27000.0,Southern Europe,0.18300036184657514,0.06089359709230955,0.2872,0.11126580500852098,,,0.01236011306308951,0.01236011306308951,4941.009769857529,1644.127121492358,7754.400000000001,3004.1767352300667,,
Guinea,GIN,4530000.0,Western Africa,0.2833038002978918,0.0622479934715156,0.7077707794758886,0.4227975335625138,0.004082322446408544,0.004082322446408544,0.34879553615912406,0.34879553615912406,1283366.21534945,281983.4104259657,3206201.6310257753,1915272.8270381875,18492.920682230706,18492.920682230706
Gambia,GMB,783000.0,Western Africa,0.35003893948144904,0.10725606312127701,0.7033000000000001,0.36155602075436083,0.0014037362362282052,0.0014037362362282052,0.22578286475191345,0.22578286475191345,274080.4896139746,83981.4974239599,550683.9000000001,283098.36425066454,1099.1254729666846,1099.1254729666846
Guinea-Bissau,GNB,845000.0,Western Africa,0.19051292363932992,0.06978570565373973,0.7700467814066183,0.6109187838167426,0.004018428102012306,0.004018428102012306,0.3460530313890505,0.3460530313890505,160983.42047523378,58968.921277410074,650689.5302885924,516226.3723251475,3395.5717462003986,3395.5717462003986
Equatorial Guinea,GNQ,715000.0,Middle Africa,0.22218236349188103,0.07646258110507749,0.6206174676931594,0.40814909810832295,,,0.2874597191570302,0.2874597191570302,158860.38989669495,54670.74549013041,443741.489400609,291826.60514745093,,
Greece,GRC,4650000.0,Southern Europe,0.2604760357048183,0.10251500554634409,0.4328000000000001,0.21835144255806513,0.0,0.0,0.08813520692397668,0.08813520692397668,1211213.5660274052,476694.7757905,2012520.0000000002,1015334.2078950028,0.0,0.0
Grenada,GRD,58405.654584,Caribbean,0.16530339292399018,0.06710895828861228,0.3022223262926504,0.15781635174574568,0.0035859696071872315,0.0035859696071872315,0.03259055720156743,0.03259055720156743,9654.6528686818,3919.542637296753,17651.49279702148,9217.367327769069,209.4409022260996,209.4409022260996
Greenland,GRL,28992.0,Northern America,0.2056879837466296,0.08390241154673717,0.31986844028451716,0.15116346167516256,,,0.014162176638538741,0.014162176638538741,5963.306024782286,2432.4987155630038,9273.625820728721,4382.531080886313,,
