Country Code,GDP Year (PPP),"GDP per capita, PPP (current international $)",GDP Year (USD),GDP per capita (current US$)
NLD,2024,85218.3689343246,2024,67465.3208126875
NOR,2024,105657.0339185,2024,89888.9535204758
NPL,2024,5745.64525192255,2024,1460.28237984149
NRU,2024,13612.0368416276,2024,14048.163961344
NZL,2024,55793.9990422226,2024,49432.3626396797
OED,2024,62344.5282358954,2024,48881.8109051634
OMN,2024,41800.7841364086,2024,20285.2272765262
OSS,2024,29435.9436697315,2024,16111.8328238083
PAK,2024,6263.186935403,2024,1479.47755241191
PAN,2024,41429.5092511481,2024,19161.218843129
PER,2024,17881.8685833242,2024,8526.29665719783
PHL,2024,11813.805926453,2024,3985.29464669706
PLW,2024,21059.1347141726,2024,18169.0767165866
PNG,2024,4886.53186994995,2024,2912.4914068385
POL,2024,51262.5105756884,2024,25103.565661423
PRE,2024,5273.74958372838,2024,1372.7115352549
PRI,2024,50332.9848222477,2024,39353.2242360643
PRT,2024,52512.5651003677,2024,29328.3067415343
PRY,2024,18631.6436164051,2024,6456.60723068562
PSE,2024,4770.6463157404,2024,3028.25481286981
PSS,2024,8326.23496459608,2024,4528.48364572376
PST,2024,68602.7221788617,2024,56385.0585145595
PYF,,,2024,22439.8838746025
QAT,2024,126712.582876079,2024,75685.0865779973
ROU,2024,49076.7137157187,2024,20080.2096215595
RUS,2024,47686.06640625,2024,14961.8974609375
RWA,2024,3784.9629495071,2024,1059.93709298801
SAS,2024,10594.5335959681,2024,2601.82209529365
SAU,2024,71936.2510663399,2024,35527.786181866
SDN,2024,2118.88891601563,2024,984.607666015625
SEN,2024,5097.24318834766,2024,1738.73223822106
SGP,2024,153161.175431382,2024,94896.5621495988
SLB,2024,2679.1210283533,2024,1933.55538435227
SLE,2024,3527.42124292431,2024,806.654650274255
SLV,2024,13258.1805042704,2024,5503.10317151907
SMR,2023,78810.3378046111,2023,59871.3288101478
SOM,2024,1604.29116285918,2024,629.538899449007
SRB,2024,32832.274492238,2024,13677.7794863909
SSA,2024,5523.13654766133,2024,1541.07573422834
SSF,2024,5525.75233957231,2024,1542.65844261619
SST,2024,28670.4071711442,2024,15409.264856078
STP,2024,6274.34741942922,2024,3502.6176807171
SUR,2024,21832.187015648,2024,6961.78956060258
SVK,2024,47846.6169154961,2024,25992.6748502048
SVN,2024,57570.5904042272,2024,34301.0318686594
SWE,2024,71221.9379308266,2024,57222.7100565003
SWZ,2024,11822.961305357,2024,3909.55892378182
SXM,2024,53846.7442635227,2024,41472.5870367865
SYC,2024,33339.491987317,2024,18364.5259678223
SYR,2022,4905.15252202552,2022,1056.78264718197
TCA,2024,38009.5079479808,2024,37506.7798431288
TCD,2024,2766.98134913811,2024,980.668312111718
TEA,2024,23545.5187860765,2024,10508.2462082104
TEC,2024,38191.6752565419,2024,13364.4486876078
