Context,Job Zone,Code,Occupation
53,4,19-1031.00,Conservation Scientists
53,1-2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
53,1-2,33-1012.00,First-Line Supervisors of Police and Detectives
53,1-2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
53,3,33-3021.02,Police Identification and Records Officers
53,1-2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
53,1-2,51-6042.00,Shoe Machine Operators and Tenders
53,3,51-4111.00,Tool and Die Makers
52,1-2,45-2021.00,Animal Breeders
52,4,11-9072.00,"Entertainment and Recreation Managers, Except Gambling"
51,1-2,27-2021.00,Athletes and Sports Competitors
51,3,35-1011.00,Chefs and Head Cooks
51,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
51,1-2,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
51,3,33-1011.00,First-Line Supervisors of Correctional Officers
51,3,13-1041.04,Government Property Inspectors and Investigators
51,1-2,43-5041.00,"Meter Readers, Utilities"
51,4,21-1092.00,Probation Officers and Correctional Treatment Specialists
51,4,11-3071.04,Supply Chain Managers
51,4,19-1023.00,Zoologists and Wildlife Biologists
50,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
50,3,13-1032.00,"Insurance Appraisers, Auto Damage"
50,1-2,43-5052.00,Postal Service Mail Carriers
50,1-2,51-6051.00,"Sewers, Hand"
49,3,49-2097.00,Audiovisual Equipment Installers and Repairers
49,1-2,53-6011.00,Bridge and Lock Tenders
49,4,17-2041.00,Chemical Engineers
49,1-2,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
49,1-2,53-7011.00,Conveyor Operators and Tenders
49,1-2,13-1074.00,Farm Labor Contractors
49,1-2,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
49,3,17-3027.00,Mechanical Engineering Technologists and Technicians
49,4,19-1031.02,Range Managers
49,4,17-2199.08,Robotics Engineers
49,4,17-1022.00,Surveyors
48,1-2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
48,4,17-3025.00,Environmental Engineering Technologists and Technicians
48,1-2,47-3016.00,Helpers--Roofers
48,3,17-3026.00,Industrial Engineering Technologists and Technicians
48,1-2,47-2171.00,Reinforcing Iron and Rebar Workers
48,4,13-1199.07,Security Management Specialists
47,1-2,39-2021.00,Animal Caretakers
47,1-2,33-9091.00,Crossing Guards and Flaggers
47,4,17-2111.02,Fire-Prevention and Protection Engineers
47,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
47,1-2,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
47,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
47,1-2,47-2044.00,Tile and Stone Setters
46,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
46,3,11-3013.00,Facilities Managers
46,1-2,53-3033.00,Light Truck Drivers
45,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
45,1-2,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
45,1-2,53-3031.00,Driver/Sales Workers
45,1-2,33-1091.00,First-Line Supervisors of Security Workers
45,5,17-2112.01,Human Factors Engineers and Ergonomists
45,1-2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
45,1-2,47-2142.00,Paperhangers
45,1-2,33-9093.00,Transportation Security Screeners
44,4,17-2051.00,Civil Engineers
44,1-2,51-9162.00,Computer Numerically Controlled Tool Programmers
44,1-2,47-2043.00,Floor Sanders and Finishers
44,4,17-2112.00,Industrial Engineers
44,3,27-4021.00,Photographers
44,4,11-3013.01,Security Managers
43,1-2,47-2031.00,Carpenters
43,1-2,51-9161.00,Computer Numerically Controlled Tool Operators
43,3,39-4011.00,Embalmers
43,1-2,53-7063.00,Machine Feeders and Offbearers
43,3,49-9062.00,Medical Equipment Repairers
43,1-2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
42,4,17-2011.00,Aerospace Engineers
42,4,13-2023.00,Appraisers and Assessors of Real Estate
42,1-2,47-2041.00,Carpet Installers
42,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
42,1-2,27-2023.00,"Umpires, Referees, and Other Sports Officials"
41,4,17-2141.02,Automotive Engineers
41,3,27-4031.00,"Camera Operators, Television, Video, and Film"
41,3,19-4031.00,Chemical Technicians
41,4,19-1012.00,Food Scientists and Technologists
41,1-2,51-9111.00,Packaging and Filling Machine Operators and Tenders
41,1-2,47-2072.00,Pile Driver Operators
41,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
41,3,19-4099.01,Quality Control Analysts
40,1-2,47-5011.00,"Derrick Operators, Oil and Gas"
40,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
40,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
40,3,11-9171.00,Funeral Home Managers
40,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
40,3,49-3052.00,Motorcycle Mechanics
40,3,51-9195.05,"Potters, Manufacturing"
40,1-2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
39,1-2,45-2091.00,Agricultural Equipment Operators
39,1-2,39-6011.00,Baggage Porters and Bellhops
39,1-2,53-3051.00,"Bus Drivers, School"
39,4,11-9161.00,Emergency Management Directors
39,5,19-2041.02,Environmental Restoration Planners
