Context,Job Zone,Code,Occupation
92,3,17-3011.00,Architectural and Civil Drafters
92,5,19-1021.00,Biochemists and Biophysicists
92,2,51-8099.01,Biofuels Processing Technicians
92,4,11-3051.04,Biomass Power Plant Managers
92,5,29-1141.04,Clinical Nurse Specialists
92,3,15-1299.08,Computer Systems Engineers/Architects
92,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
92,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
92,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
92,2,35-2021.00,Food Preparation Workers
92,5,15-1211.01,Health Informatics Specialists
92,3,29-2092.00,Hearing Aid Specialists
92,5,25-1125.00,"History Teachers, Postsecondary"
92,4,17-1012.00,Landscape Architects
92,5,25-1082.00,"Library Science Teachers, Postsecondary"
92,4,13-1081.02,Logistics Analysts
92,3,31-9011.00,Massage Therapists
92,5,17-2199.06,Microsystems Engineers
92,5,19-1029.02,Molecular and Cellular Biologists
92,5,29-1122.00,Occupational Therapists
92,2,43-9061.00,"Office Clerks, General"
92,5,29-1071.00,Physician Assistants
92,3,33-3021.02,Police Identification and Records Officers
92,5,19-3094.00,Political Scientists
92,2,11-9131.00,Postmasters and Mail Superintendents
92,5,29-1024.00,Prosthodontists
92,3,19-4099.01,Quality Control Analysts
92,2,43-3071.00,Tellers
91,4,13-2011.00,Accountants and Auditors
91,4,11-2011.00,Advertising and Promotions Managers
91,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
91,3,49-9061.00,Camera and Photographic Equipment Repairers
91,3,35-1011.00,Chefs and Head Cooks
91,2,35-2012.00,"Cooks, Institution and Cafeteria"
91,2,41-2021.00,Counter and Rental Clerks
91,1,51-9031.00,"Cutters and Trimmers, Hand"
91,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
91,2,39-3011.00,Gambling Dealers
91,5,25-1064.00,"Geography Teachers, Postsecondary"
91,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
91,5,11-3031.03,Investment Fund Managers
91,3,31-9092.00,Medical Assistants
91,5,21-1023.00,Mental Health and Substance Abuse Social Workers
91,2,31-1132.00,Orderlies
91,4,13-2052.00,Personal Financial Advisors
91,3,17-3029.08,Photonics Technicians
91,3,51-5111.00,Prepress Technicians and Workers
91,4,41-9031.00,Sales Engineers
91,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
91,4,25-2058.00,"Special Education Teachers, Secondary School"
91,3,25-3041.00,Tutors
90,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
90,4,27-1011.00,Art Directors
90,5,29-9091.00,Athletic Trainers
90,5,29-1181.00,Audiologists
90,3,29-2031.00,Cardiovascular Technologists and Technicians
90,3,13-1041.06,Coroners
90,3,33-3021.00,Detectives and Criminal Investigators
90,5,29-1031.00,Dietitians and Nutritionists
90,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
90,3,17-3012.00,Electrical and Electronics Drafters
90,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
90,4,17-2111.02,Fire-Prevention and Protection Engineers
90,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
90,4,11-3121.00,Human Resources Managers
90,3,17-3026.00,Industrial Engineering Technologists and Technicians
90,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
90,5,29-1222.00,"Physicians, Pathologists"
90,5,29-1229.05,Preventive Medicine Physicians
90,3,39-5094.00,Skincare Specialists
90,4,11-9151.00,Social and Community Service Managers
90,3,29-2055.00,Surgical Technologists
89,2,27-2011.00,Actors
89,4,17-2031.00,Bioengineers and Biomedical Engineers
89,4,11-3051.03,Biofuels Production Managers
89,5,19-1029.01,Bioinformatics Scientists
89,3,43-4011.00,Brokerage Clerks
89,5,25-1011.00,"Business Teachers, Postsecondary"
89,2,51-8091.00,Chemical Plant and System Operators
89,5,25-1052.00,"Chemistry Teachers, Postsecondary"
89,5,25-1122.00,"Communications Teachers, Postsecondary"
89,5,11-9033.00,"Education Administrators, Postsecondary"
89,5,25-1032.00,"Engineering Teachers, Postsecondary"
89,4,19-3092.00,Geographers
89,4,13-2053.00,Insurance Underwriters
89,5,21-1013.00,Marriage and Family Therapists
89,4,17-2141.00,Mechanical Engineers
89,3,27-1026.00,Merchandise Displayers and Window Trimmers
89,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
89,3,19-4051.02,Nuclear Monitoring Technicians
89,3,29-1124.00,Radiation Therapists
89,4,29-1141.00,Registered Nurses
89,4,19-2099.01,Remote Sensing Scientists and Technologists
89,2,33-9099.02,Retail Loss Prevention Specialists
89,4,11-9121.02,Water Resource Specialists
88,4,17-2021.00,Agricultural Engineers
88,5,11-9041.00,Architectural and Engineering Managers
88,3,17-3022.00,Civil Engineering Technologists and Technicians
88,4,11-9179.01,Fitness and Wellness Coordinators
88,5,17-2112.01,Human Factors Engineers and Ergonomists
88,4,11-2021.00,Marketing Managers
88,4,17-2131.00,Materials Engineers
88,4,29-1129.02,Music Therapists
88,4,17-2072.01,Radio Frequency Identification Device Specialists
88,3,29-2034.00,Radiologic Technologists and Technicians
88,5,29-1224.00,Radiologists
88,2,41-9041.00,Telemarketers
88,4,17-2112.02,Validation Engineers
88,4,15-1299.01,Web Administrators
87,5,25-1031.00,"Architecture Teachers, Postsecondary"
87,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
87,2,53-6011.00,Bridge and Lock Tenders
87,3,27-2032.00,Choreographers
87,5,19-2041.01,Climate Change Policy Analysts
87,5,19-3033.00,Clinical and Counseling Psychologists
87,2,33-3012.00,Correctional Officers and Jailers
87,5,25-4012.00,Curators
87,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
87,2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
87,3,11-3013.00,Facilities Managers
87,4,13-2061.00,Financial Examiners
87,4,17-2112.00,Industrial Engineers
87,4,13-1081.01,Logistics Engineers
87,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
87,3,19-4051.00,Nuclear Technicians
87,3,31-2011.00,Occupational Therapy Assistants
87,4,29-1125.00,Recreational Therapists
87,4,13-1041.07,Regulatory Affairs Specialists
87,4,27-1014.00,Special Effects Artists and Animators
87,5,19-3051.00,Urban and Regional Planners
87,3,11-9199.09,Wind Energy Operations Managers
86,5,29-1141.02,Advanced Practice Psychiatric Nurses
86,4,17-2041.00,Chemical Engineers
86,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
86,4,17-2061.00,Computer Hardware Engineers
86,5,25-1021.00,"Computer Science Teachers, Postsecondary"
86,3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
86,4,17-2072.00,"Electronics Engineers, Except Computer"
86,4,25-2021.00,"Elementary School Teachers, Except Special Education"
86,2,11-9051.00,Food Service Managers
86,2,43-9041.00,Insurance Claims and Policy Processing Clerks
86,4,27-1025.00,Interior Designers
86,5,25-1112.00,"Law Teachers, Postsecondary"
86,2,43-4121.00,"Library Assistants, Clerical"
86,5,29-9099.01,Midwives
86,4,27-3023.00,"News Analysts, Reporters, and Journalists"
86,5,29-1171.00,Nurse Practitioners
86,5,29-2091.00,Orthotists and Prosthetists
86,3,43-3051.00,Payroll and Timekeeping Clerks
86,5,25-1054.00,"Physics Teachers, Postsecondary"
86,2,43-5051.00,Postal Service Clerks
86,4,11-3061.00,Purchasing Managers
86,4,19-1031.02,Range Managers
86,3,25-3021.00,Self-Enrichment Teachers
86,3,11-9179.02,Spa Managers
86,4,25-2057.00,"Special Education Teachers, Middle School"
86,4,27-2012.04,Talent Directors
86,4,17-2051.01,Transportation Engineers
86,4,19-3099.01,Transportation Planners
86,4,11-3031.01,Treasurers and Controllers
85,4,17-2141.02,Automotive Engineers
85,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
85,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
85,4,17-2051.00,Civil Engineers
85,5,21-2011.00,Clergy
85,4,11-3111.00,Compensation and Benefits Managers
85,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
85,3,47-4021.00,Elevator and Escalator Installers and Repairers
85,2,51-9194.00,Etchers and Engravers
85,3,11-9171.00,Funeral Home Managers
85,4,11-1021.00,General and Operations Managers
85,4,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
85,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
85,5,19-3032.00,Industrial-Organizational Psychologists
85,4,15-1299.09,Information Technology Project Managers
85,4,17-2112.03,Manufacturing Engineers
85,4,13-1121.00,"Meeting, Convention, and Event Planners"
85,4,21-1092.00,Probation Officers and Correctional Treatment Specialists
85,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
85,4,17-2199.08,Robotics Engineers
85,4,43-9111.00,Statistical Assistants
85,4,11-3131.00,Training and Development Managers
85,3,29-2056.00,Veterinary Technologists and Technicians
85,3,15-1254.00,Web Developers
84,4,19-2021.00,Atmospheric and Space Scientists
84,4,19-4021.00,Biological Technicians
84,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants
84,2,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
84,4,27-2041.00,Music Directors and Composers
84,3,29-2033.00,Nuclear Medicine Technologists
84,3,25-2011.00,"Preschool Teachers, Except Special Education"
84,4,27-2012.00,Producers and Directors
84,2,43-4171.00,Receptionists and Information Clerks
84,2,33-9032.00,Security Guards
84,5,25-2051.00,"Special Education Teachers, Preschool"
84,5,15-2041.00,Statisticians
84,2,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
84,4,17-2051.02,Water/Wastewater Engineers
83,5,17-1011.00,"Architects, Except Landscape and Naval"
83,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
83,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
83,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
83,4,15-2051.02,Clinical Data Managers
83,4,27-2022.00,Coaches and Scouts
83,2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
83,2,43-4021.00,Correspondence Clerks
83,4,13-1051.00,Cost Estimators
83,4,13-2071.00,Credit Counselors
83,4,17-2081.00,Environmental Engineers
83,5,29-9092.00,Genetic Counselors
83,1,45-2041.00,"Graders and Sorters, Agricultural Products"
83,4,27-1024.00,Graphic Designers
83,5,21-1014.00,Mental Health Counselors
83,5,29-1217.00,Neurologists
83,4,19-5011.00,Occupational Health and Safety Specialists
